source_id,source_type,title,persona,ecosystem,business_stage,raw_text
SRC-001,Interview,Persona of a successful marketer #1,Expert marketer #1,"Tech, Web3, Telecommunications, Brewery, Hardware technologies",,"They have to be inquisitive, they have to be a sponge, they have to have multiple interest cause these will help in strategy formation. They have to know something about everything such as; crypto, world politics, football."
SRC-001,Interview,What it takes to go from a beginner to an expert marketer #1,Expert marketer #1,"Tech, Web3, Telecommunications, Brewery, Hardware technologies, grocery",,"It takes roughly between 3 to 4 years to become an expert marketer. This is not set on stone, however, it's largely dependent on the quality and quantity of experience the marketer has been exposed to. This is why I advise young marketers to start their careers in agencies, because it gives them the opportunity to work with more brands, which gives them an edge compared to a marketer who specializes too early on in their career. Start in agency and specialize later on. It helps to build expertise in different areas including influencer marketing, brand campaigns, building an ecosystem. "
SRC-001,Interview,Marketing behaviour that works here in Nigeria that doesn't work elsewhere #1,Expert marketer #1,"Tech, Web3, Telecommunications, Brewery, Hardware technologies, grocery, automobile.",,"Marketing depends on the category of the product and other things like user behaviour. Mostly user behavior, which also varies by a couple factors like Location; for instance user behaviour of people who reside on the island differs from that of those on the mainland, user behaviour of people in Lagos varies from those in the South-East. 
Another factor is cultural differences, for instance, user behaviour exhibited by the Igbos is different from those exhibited by the Notherners. 
Another factor is religion, for instance user behavior of Muslims differs from that of Christians, which are the 2 dominant religions in Nigeria. For example, opening a beer brand in the Northern would not yield enough profit but it would be a very wise thing to do in the east, because the Igbos don’t just only celebrate with beers but also see it as a sign of manhood. 
Marketing also differs at the basic level. Nigeria is one of the poorest countries in the world and that’s why it makes no sense to sell luxury goods here. For instance why would you setup a Channel store in Nigeria to sell a Channel bag for at least $10,000? Makes no sense, because those who can really afford it would rather travel out to buy it, why would they want to walk into ShopRite to buy it?
Microeconomic conditions are also factors to consider when marketing in Nigeria. That's why SWOT analysis is highly recommended in marketing. 
Take a look at the recent trend of shachetization of goods going on in the country, where everything is now being sold in smaller sizes (in sachets) because Nigerians cannot afford to buy things in bulk. A significant example are the Yam sellers in the market who now sell pieces of yams because people can no longer afford to buy tubers of yam. Because Nigeria is a poor country, Nigeria customers are expected to purchase poorly, it’s quiet normal for them to behave according to their pockets. 
Another important factor in marketing in Nigeria is the Society. Society plays a role in user behaviour, Nigeria is a very communal country, everyone is each other's brothers and sisters, we are fond of doing things on a community level, compared to the American society that is very individualistic. For instance for an American, a Mercedes Benz is just a car that moves people from one place to another but for a Nigerian, a Mercedes Benz is a status symbol, it means I have arrived, I am a big boy. So, in order for you to sell profitably, you need to understand why people are buying Benz. If you are the Chief Marketing Officer for Mercedes Benz in Nigeria, you need to understand what kind of marketing materials you would need. If you work with the same company but is the CMO in America, you will need to speak on (market around) the Mercedes engineering, such as it's fast, efficiency and German engineering but in Nigeria nobody cares about that, what you would sell is the status, marketing it as a symbol that if you have arrived, you need to launch with a Benz now because your enemies have to notice you, so why then are you still driving a Corolla?"
SRC-001,Interview,Marketing in textbooks versus real life #1,Expert marketer #1,"Tech, Web3, Telecommunications, Brewery, Hardware technologies, grocery, automobile.",,"Marketing in textbooks varies from marketing in real life, especially when we look at Nigerian universities and foreign schools that have learning centers here in Nigeria even up to Doctorate levels. There is really nothing about marketing that they would teach you that you don't already know, especially if you have been practicing. 
Foreign universities outside the shores of Nigeria have a more hands-on approach to marketing than we do in Nigeria; it's not so much, so this changes the dynamics. 
If you learn marketing in Nigeria institutes, You would only have access to rudimentary knowledge of marketing and would end up deceiving yourself that you are a marketer.
Although, this is not to say that it's a total waste of time studying marketing from universities or the textbooks but it's a completely different ball game with marketing in the field.
"
SRC-002,survey,what works for professional audience #1,Social Media Manager / Content Strategist / Community Manager #1,"Tech, edtech, education",Solo operator,"Professional audience on Linkedin engage more with contents that contains Personal storytelling and Community conversations. These contents worked because they connect on a personal note with the audience. The best emotional tone to use is educational/intellectual. Professional audience are able to connect more with a creator, brand or community when they feel understood, have shared identity and a sense of belonging. One content advice that sounds good but rarely woprks in practice with professional audience is to post everyday, and this is because the attention span of individuals is greatly reduced"
SRC-003,survey,what works/doesn't work for a nich industry audience #1,Social Media Manager / Content Strategist / Community Manager #2,unknown,Solo operator,"My audience is a niche industry audience, I use Whatsapp, tiktok, X and facebook for marketing. Industry Niche audience relates more with personal storytelling, educational/tutorial content and humor/skits, this is because people love to hear other people’s stories and experiences even though they won’t learn from them (for instance, they want to hear something they can tell as a gist to their friends), people have a way of staying glued to a funny or educational content. The emotional tone that performs best with a niche industry audience is a relatable/human tone, the audience is able to connect emotionally to the brand, creator or community when they feel understood. 
Three  content strategy advice that sounds good but rarely works in practice are Posting every day, Following trends constantly, the mindset that educational content always wins and that you just need to go viral first. The reason is, just because you post everyday doesn’t mean you’re posting the right thing, most times, you just end up straining yourself. Following trends on the other hand might make you get lost in the crowd, because you’re not the only one “following the trend “. Educational content doesn’t always win, because not everyone wants to learn from you, some people just want to be entertained. One content pattern or audience shift I have seen that most people haven’t noticed yet but works is lazy posting and One mistake I have noticed in the Nigerian market is not all trends need to be followed. 
"
SRC-004,survey,Marketing tips #1,SME / Business Operator #1,Physical business,Solo operator,"One marketing advice that has failed over time is the “offer discount” advice. customers who really want to make a purchase rarely delay their purchase. One unpredictable factor in marketing efforts so far is content performance. Physical marketing/networking is also a very important part of running a business. One mistake I have seen people do over time is focusing entirely on online marketing, you need to go out and market yourself to people, because face to face interactions builds trust faster than online marketing."
SRC-004,survey,How do you experience customers #1,SME / Business Operator #1,Physical business,Solo operator,"My primary audience is a Niche industry one. I use WhatsApp, Instagram and TikTok the most for marketing and customers usually buy from me the most when someone they trust refers to them and they can find social proof. One form of marketing that has performed better than expected over time is Word-of-mouth/referrals, this is because people trust the judgement of their friends and family so when they hear good things about you from them, it is easy for trust to begin to build."
SRC-004,survey,What customers check before patronage #1,SME / Business Operator #1,Physical business,Solo operator,"My social media page is not left out, customers always check my social media page and activities before trusting me. They always inquire about price before patronizing me. The biggest excuse I get from them is that they will come back later but one thing I have learned from this excuse is to not to worry too much because sometimes people are scouting for the cheapest options and people who are willing to buy/book won’t begin the discussion with price."
SRC-005,survey,How do you experience customers #2,Ecommerce / Product Seller #1,Physical business,Established business,"An Ecommerce / Product Seller with an established business. Use WhatsApp, Instagram and TikTok as primary platforms for marketing. My audience are general consumers. Customers most commonly disappear after asking for price, this happens a lot due to their preference and sometimes they prefer quantity over quality. Customer reviews/testimonials is one signal that improves conversion faster. 
When customers are asked to make payment before delivery or make a booking deposit, many of them hesitate, but they feel safer when they see reviews. Whatsapp brings the most inquiries into my business. The most frustrating behaviour I experience from customers is when they compare with cheaper sellers and ask for a price with no intent to purchase."
